STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2024,12.29,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,19.2395,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,22.9956,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,38.3052,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,34.78,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,36.49,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,21.0046,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,20.0853,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,20.2324,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2024,19.0232,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEL,Belgium,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,17.3478,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEL,Belgium,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,12.927,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,17.2019,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,17.9733,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,17.9463,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2024,27.8612,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRN,Brunei Darussalam,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,0.0,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGR,Bulgaria,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,21.3564,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGR,Bulgaria,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,19.1127,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAN,Canada,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,9.10001,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHL,Chile,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,19.7405,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DOM,Dominican Republic,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,21.6914,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ESP,Spain,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,21.2,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ESP,Spain,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,21.5458,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EST,Estonia,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,0.0,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FRA,France,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,19.7017,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FIN,Finland,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,19.8526,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FIN,Finland,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,20.5061,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRC,Greece,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,20.0095,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRC,Greece,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,17.3424,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HKG,"Hong Kong SAR, China",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,16.3516,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HRV,Croatia,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,16.83,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HRV,Croatia,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,41.8298,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ITA,Italy,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,17.6857,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,IDN,Indonesia,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2024,5.97388,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,JPN,Japan,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,19.5848,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,JPN,Japan,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,19.401,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,JAM,Jamaica,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,9.03635,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,JOR,Jordan,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,14.8959,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KOR,"Korea, Rep.",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,18.5164,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KOR,"Korea, Rep.",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,14.7291,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KOR,"Korea, Rep.",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,16.4949,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KOR,"Korea, Rep.",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2024,33.5222,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
